0,0,1,5.39,0.02,6.01
1,0,2,16.76,0.06,4.77
2,1,2,11.40,0.04,6.35
3,3,1,13.15,0.04,4.38
4,3,2,2.24,0.01,4.37
5,4,3,5.00,0.02,2.71
6,4,1,13.34,0.04,1.92
7,5,3,18.38,0.06,3.80
8,5,2,17.00,0.06,3.35
9,6,3,4.12,0.01,6.34
10,6,1,9.49,0.03,2.07
11,7,5,13.15,0.04,1.46
12,7,2,6.32,0.02,3.44
13,8,2,11.18,0.04,4.13
14,8,5,10.20,0.03,1.80
15,9,5,9.06,0.03,6.63
16,9,3,10.00,0.03,8.14
17,10,3,6.40,0.02,2.08
18,10,5,12.37,0.04,2.51
19,11,8,8.25,0.03,4.06
20,11,1,14.87,0.05,5.94
21,12,4,7.07,0.02,2.65
22,12,1,12.65,0.04,8.70
23,13,3,8.00,0.03,4.90
24,13,9,8.25,0.03,4.26
25,14,3,15.81,0.05,7.29
26,14,6,12.04,0.04,4.16
27,15,3,12.04,0.04,4.79
28,15,6,8.00,0.03,2.11
29,16,2,3.16,0.01,6.68
30,16,1,14.14,0.05,5.31
31,17,15,10.00,0.03,2.65
32,17,1,12.73,0.04,8.68
33,18,4,15.03,0.05,4.06
34,18,15,7.62,0.03,1.96
35,19,5,7.00,0.02,7.56
36,19,13,10.05,0.03,1.91
